# MRF sequence pattern
# created: 2017-07-28T14:08:17.909000
# type: jiang
# length: 1000
# inv_delay (ms): 20.0
# min FA (ms): 0.0
# max FA (ms): 70.0
# min TR (ms): 16.0
# max TR (ms): 16.0
# min TE (ms): 5.5
# max TE (ms): 5.5
# repetition_delay (ms): 6000.0
# n_dummies: 0
# FA (deg), TR (ms), phase (deg), TE (ms)
44.76,16.0,0.0,5.5
44.82,16.0,180.0,5.5
44.88,16.0,0.0,5.5
44.92,16.0,180.0,5.5
44.96,16.0,0.0,5.5
44.98,16.0,180.0,5.5
45.0,16.0,0.0,5.5
45.0,16.0,180.0,5.5
45.0,16.0,0.0,5.5
44.98,16.0,180.0,5.5
44.96,16.0,0.0,5.5
44.92,16.0,180.0,5.5
44.88,16.0,0.0,5.5
44.82,16.0,180.0,5.5
44.76,16.0,0.0,5.5
44.68,16.0,180.0,5.5
44.6,16.0,0.0,5.5
44.51,16.0,180.0,5.5
44.4,16.0,0.0,5.5
44.29,16.0,180.0,5.5
44.17,16.0,0.0,5.5
44.04,16.0,180.0,5.5
43.89,16.0,0.0,5.5
43.74,16.0,180.0,5.5
43.58,16.0,0.0,5.5
43.41,16.0,180.0,5.5
43.23,16.0,0.0,5.5
43.04,16.0,180.0,5.5
42.84,16.0,0.0,5.5
42.64,16.0,180.0,5.5
42.42,16.0,0.0,5.5
42.19,16.0,180.0,5.5
41.96,16.0,0.0,5.5
41.71,16.0,180.0,5.5
41.46,16.0,0.0,5.5
41.19,16.0,180.0,5.5
40.92,16.0,0.0,5.5
40.64,16.0,180.0,5.5
40.35,16.0,0.0,5.5
40.05,16.0,180.0,5.5
39.75,16.0,0.0,5.5
39.43,16.0,180.0,5.5
39.11,16.0,0.0,5.5
38.77,16.0,180.0,5.5
38.43,16.0,0.0,5.5
38.08,16.0,180.0,5.5
37.73,16.0,0.0,5.5
37.36,16.0,180.0,5.5
36.99,16.0,0.0,5.5
36.61,16.0,180.0,5.5
36.22,16.0,0.0,5.5
35.82,16.0,180.0,5.5
35.42,16.0,0.0,5.5
35.0,16.0,180.0,5.5
34.59,16.0,0.0,5.5
34.16,16.0,180.0,5.5
33.73,16.0,0.0,5.5
33.28,16.0,180.0,5.5
32.84,16.0,0.0,5.5
32.38,16.0,180.0,5.5
31.92,16.0,0.0,5.5
31.45,16.0,180.0,5.5
30.98,16.0,0.0,5.5
30.5,16.0,180.0,5.5
30.01,16.0,0.0,5.5
29.52,16.0,180.0,5.5
29.02,16.0,0.0,5.5
28.51,16.0,180.0,5.5
28.0,16.0,0.0,5.5
27.48,16.0,180.0,5.5
26.96,16.0,0.0,5.5
